Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID
3561,2021,2021-07-13T00:00:00,9,36
3562,2021,2021-07-13T00:00:00,10,36
3563,2021,2021-07-13T00:00:00,11,36
3564,2021,2021-07-13T00:00:00,12,36
3565,2021,2021-07-13T00:00:00,13,36
3566,2021,2021-07-13T00:00:00,14,36
3567,2021,2021-07-13T00:00:00,15,36
3568,2021,2021-07-13T00:00:00,16,36
3569,2021,2021-07-13T00:00:00,17,36
3570,2021,2021-07-13T00:00:00,18,36
3571,2021,2021-07-13T00:00:00,19,36
3572,2021,2021-07-13T00:00:00,20,36
3573,2021,2021-07-13T00:00:00,21,36
3574,2021,2021-07-13T00:00:00,22,36
3575,2021,2021-07-13T00:00:00,23,36
3576,2021,2021-07-13T00:00:00,24,36
3577,2021,2021-07-13T00:00:00,25,36
3578,2021,2021-07-13T00:00:00,26,36
3579,2021,2021-07-13T00:00:00,27,36
3580,2021,2021-07-13T00:00:00,28,36
3581,2021,2021-07-13T00:00:00,29,36
3582,2021,2021-07-13T00:00:00,30,36
3583,2021,2021-07-13T00:00:00,31,36
3584,2021,2021-07-13T00:00:00,32,36
3585,2021,2021-07-13T00:00:00,33,36
3586,2021,2021-07-13T00:00:00,34,36
3587,2021,2021-07-13T00:00:00,35,36
3588,2021,2021-07-13T00:00:00,36,36
3589,2021,2021-07-13T00:00:00,37,36
3590,2021,2021-07-13T00:00:00,38,36
3591,2021,2021-07-13T00:00:00,39,36
3592,2021,2021-07-13T00:00:00,40,36
3593,2021,2021-07-13T00:00:00,41,36
3594,2021,2021-07-13T00:00:00,42,36
3595,2021,2021-07-13T00:00:00,43,36
3596,2021,2021-07-13T00:00:00,44,36
3597,2021,2021-07-13T00:00:00,45,36
3598,2021,2021-07-13T00:00:00,46,36
3599,2021,2021-07-13T00:00:00,47,36
3600,2021,2021-07-13T00:00:00,48,36
3601,2021,2021-07-13T00:00:00,49,36
3602,2021,2021-07-13T00:00:00,50,36
3603,2021,2021-07-13T00:00:00,51,36
3604,2021,2021-07-13T00:00:00,52,36
3605,2021,2021-07-13T00:00:00,53,36
3606,2021,2021-07-13T00:00:00,54,36
3607,2021,2021-07-13T00:00:00,55,36
3608,2021,2021-07-13T00:00:00,56,36
3609,2021,2021-07-13T00:00:00,57,36
3610,2021,2021-07-13T00:00:00,58,36
3611,2021,2021-07-13T00:00:00,59,36
3612,2021,2021-07-13T00:00:00,60,36
3613,2021,2021-07-13T00:00:00,61,36
3614,2021,2021-07-13T00:00:00,62,36
3615,2021,2021-07-13T00:00:00,63,36
3616,2021,2021-07-13T00:00:00,64,36
3617,2022,2022-10-12T00:00:00,1,37
3618,2022,2022-10-12T00:00:00,2,37
3619,2022,2022-10-12T00:00:00,3,37
3620,2022,2022-10-12T00:00:00,4,37
3621,2022,2022-10-12T00:00:00,5,37
3622,2022,2022-10-12T00:00:00,6,37
3623,2022,2022-10-12T00:00:00,7,37
3624,2022,2022-10-12T00:00:00,8,37
3625,2022,2022-10-12T00:00:00,9,37
3626,2022,2022-10-12T00:00:00,10,37
3627,2022,2022-10-12T00:00:00,11,37
3628,2022,2022-10-12T00:00:00,12,37
3629,2022,2022-10-12T00:00:00,13,37
3630,2022,2022-10-12T00:00:00,14,37
3631,2022,2022-10-12T00:00:00,15,37
3632,2022,2022-10-12T00:00:00,16,37
3633,2022,2022-10-12T00:00:00,17,37
3634,2022,2022-10-12T00:00:00,18,37
3635,2022,2022-10-12T00:00:00,19,37
3636,2022,2022-10-12T00:00:00,20,37
3637,2022,2022-10-12T00:00:00,21,37
3638,2022,2022-10-12T00:00:00,22,37
3639,2022,2022-10-12T00:00:00,23,37
3640,2022,2022-10-12T00:00:00,24,37
3641,2022,2022-10-12T00:00:00,25,37
3642,2022,2022-10-12T00:00:00,26,37
3643,2022,2022-10-12T00:00:00,27,37
3644,2022,2022-10-12T00:00:00,28,37
3645,2022,2022-10-12T00:00:00,29,37
3646,2022,2022-10-12T00:00:00,30,37
3647,2022,2022-10-12T00:00:00,31,37
3648,2022,2022-10-12T00:00:00,32,37
3649,2022,2022-10-12T00:00:00,33,37
3650,2022,2022-10-12T00:00:00,34,37
3651,2022,2022-10-12T00:00:00,35,37
3652,2022,2022-10-12T00:00:00,36,37
3653,2022,2022-10-12T00:00:00,37,37
3654,2022,2022-10-12T00:00:00,38,37
3655,2022,2022-10-12T00:00:00,39,37
3656,2022,2022-10-12T00:00:00,40,37
3657,2022,2022-10-12T00:00:00,41,37
3658,2022,2022-10-12T00:00:00,42,37
3659,2022,2022-10-12T00:00:00,43,37
3660,2022,2022-10-12T00:00:00,44,37
3661,2022,2022-10-12T00:00:00,45,37
3662,2022,2022-10-12T00:00:00,46,37
3663,2022,2022-10-12T00:00:00,47,37
3664,2022,2022-10-12T00:00:00,48,37
3665,2022,2022-10-12T00:00:00,49,37
3666,2022,2022-10-12T00:00:00,50,37
3667,2022,2022-10-12T00:00:00,51,37
3668,2022,2022-10-12T00:00:00,52,37
3669,2022,2022-10-12T00:00:00,53,37
3670,2022,2022-10-12T00:00:00,54,37
3671,2022,2022-10-12T00:00:00,55,37
3672,2022,2022-10-12T00:00:00,56,37
3673,2022,2022-10-12T00:00:00,57,37
3674,2022,2022-10-12T00:00:00,58,37
3675,2022,2022-10-12T00:00:00,59,37
3676,2022,2022-10-12T00:00:00,60,37
3677,2022,2022-10-12T00:00:00,61,37
3678,2022,2022-10-12T00:00:00,62,37
3679,2022,2022-10-12T00:00:00,63,37
3680,2022,2022-10-12T00:00:00,64,37
