Probenahme_Pflanzen_ID,Versuchsjahr,Termin,Parzelle_ID
3538,2020,2020-08-26T00:00:00,50
3539,2020,2020-08-26T00:00:00,51
3540,2020,2020-08-26T00:00:00,52
3541,2020,2020-08-26T00:00:00,53
3542,2020,2020-08-26T00:00:00,54
3543,2020,2020-08-26T00:00:00,55
3544,2020,2020-08-26T00:00:00,56
3545,2020,2020-08-26T00:00:00,57
3546,2020,2020-08-26T00:00:00,58
3547,2020,2020-08-26T00:00:00,59
3548,2020,2020-08-26T00:00:00,60
3549,2020,2020-08-26T00:00:00,61
3550,2020,2020-08-26T00:00:00,62
3551,2020,2020-08-26T00:00:00,63
3552,2020,2020-08-26T00:00:00,64
3553,2021,2021-07-13T00:00:00,1
3554,2021,2021-07-13T00:00:00,2
3555,2021,2021-07-13T00:00:00,3
3556,2021,2021-07-13T00:00:00,4
3557,2021,2021-07-13T00:00:00,5
3558,2021,2021-07-13T00:00:00,6
3559,2021,2021-07-13T00:00:00,7
3560,2021,2021-07-13T00:00:00,8
3561,2021,2021-07-13T00:00:00,9
3562,2021,2021-07-13T00:00:00,10
3563,2021,2021-07-13T00:00:00,11
3564,2021,2021-07-13T00:00:00,12
3565,2021,2021-07-13T00:00:00,13
3566,2021,2021-07-13T00:00:00,14
3567,2021,2021-07-13T00:00:00,15
3568,2021,2021-07-13T00:00:00,16
3569,2021,2021-07-13T00:00:00,17
3570,2021,2021-07-13T00:00:00,18
3571,2021,2021-07-13T00:00:00,19
3572,2021,2021-07-13T00:00:00,20
3573,2021,2021-07-13T00:00:00,21
3574,2021,2021-07-13T00:00:00,22
3575,2021,2021-07-13T00:00:00,23
3576,2021,2021-07-13T00:00:00,24
3577,2021,2021-07-13T00:00:00,25
3578,2021,2021-07-13T00:00:00,26
3579,2021,2021-07-13T00:00:00,27
3580,2021,2021-07-13T00:00:00,28
3581,2021,2021-07-13T00:00:00,29
3582,2021,2021-07-13T00:00:00,30
3583,2021,2021-07-13T00:00:00,31
3584,2021,2021-07-13T00:00:00,32
3585,2021,2021-07-13T00:00:00,33
3586,2021,2021-07-13T00:00:00,34
3587,2021,2021-07-13T00:00:00,35
3588,2021,2021-07-13T00:00:00,36
3589,2021,2021-07-13T00:00:00,37
3590,2021,2021-07-13T00:00:00,38
3591,2021,2021-07-13T00:00:00,39
3592,2021,2021-07-13T00:00:00,40
3593,2021,2021-07-13T00:00:00,41
3594,2021,2021-07-13T00:00:00,42
3595,2021,2021-07-13T00:00:00,43
3596,2021,2021-07-13T00:00:00,44
3597,2021,2021-07-13T00:00:00,45
3598,2021,2021-07-13T00:00:00,46
3599,2021,2021-07-13T00:00:00,47
3600,2021,2021-07-13T00:00:00,48
3601,2021,2021-07-13T00:00:00,49
3602,2021,2021-07-13T00:00:00,50
3603,2021,2021-07-13T00:00:00,51
3604,2021,2021-07-13T00:00:00,52
3605,2021,2021-07-13T00:00:00,53
3606,2021,2021-07-13T00:00:00,54
3607,2021,2021-07-13T00:00:00,55
3608,2021,2021-07-13T00:00:00,56
3609,2021,2021-07-13T00:00:00,57
3610,2021,2021-07-13T00:00:00,58
3611,2021,2021-07-13T00:00:00,59
3612,2021,2021-07-13T00:00:00,60
3613,2021,2021-07-13T00:00:00,61
3614,2021,2021-07-13T00:00:00,62
3615,2021,2021-07-13T00:00:00,63
3616,2021,2021-07-13T00:00:00,64
3617,2022,2022-10-12T00:00:00,1
3618,2022,2022-10-12T00:00:00,2
3619,2022,2022-10-12T00:00:00,3
3620,2022,2022-10-12T00:00:00,4
3621,2022,2022-10-12T00:00:00,5
3622,2022,2022-10-12T00:00:00,6
3623,2022,2022-10-12T00:00:00,7
3624,2022,2022-10-12T00:00:00,8
3625,2022,2022-10-12T00:00:00,9
3626,2022,2022-10-12T00:00:00,10
3627,2022,2022-10-12T00:00:00,11
3628,2022,2022-10-12T00:00:00,12
3629,2022,2022-10-12T00:00:00,13
3630,2022,2022-10-12T00:00:00,14
3631,2022,2022-10-12T00:00:00,15
3632,2022,2022-10-12T00:00:00,16
3633,2022,2022-10-12T00:00:00,17
3634,2022,2022-10-12T00:00:00,18
3635,2022,2022-10-12T00:00:00,19
3636,2022,2022-10-12T00:00:00,20
3637,2022,2022-10-12T00:00:00,21
3638,2022,2022-10-12T00:00:00,22
3639,2022,2022-10-12T00:00:00,23
3640,2022,2022-10-12T00:00:00,24
3641,2022,2022-10-12T00:00:00,25
3642,2022,2022-10-12T00:00:00,26
3643,2022,2022-10-12T00:00:00,27
3644,2022,2022-10-12T00:00:00,28
3645,2022,2022-10-12T00:00:00,29
3646,2022,2022-10-12T00:00:00,30
3647,2022,2022-10-12T00:00:00,31
3648,2022,2022-10-12T00:00:00,32
3649,2022,2022-10-12T00:00:00,33
3650,2022,2022-10-12T00:00:00,34
3651,2022,2022-10-12T00:00:00,35
3652,2022,2022-10-12T00:00:00,36
3653,2022,2022-10-12T00:00:00,37
3654,2022,2022-10-12T00:00:00,38
3655,2022,2022-10-12T00:00:00,39
3656,2022,2022-10-12T00:00:00,40
3657,2022,2022-10-12T00:00:00,41
3658,2022,2022-10-12T00:00:00,42
3659,2022,2022-10-12T00:00:00,43
3660,2022,2022-10-12T00:00:00,44
3661,2022,2022-10-12T00:00:00,45
3662,2022,2022-10-12T00:00:00,46
3663,2022,2022-10-12T00:00:00,47
3664,2022,2022-10-12T00:00:00,48
3665,2022,2022-10-12T00:00:00,49
3666,2022,2022-10-12T00:00:00,50
3667,2022,2022-10-12T00:00:00,51
3668,2022,2022-10-12T00:00:00,52
3669,2022,2022-10-12T00:00:00,53
3670,2022,2022-10-12T00:00:00,54
3671,2022,2022-10-12T00:00:00,55
3672,2022,2022-10-12T00:00:00,56
3673,2022,2022-10-12T00:00:00,57
3674,2022,2022-10-12T00:00:00,58
3675,2022,2022-10-12T00:00:00,59
3676,2022,2022-10-12T00:00:00,60
3677,2022,2022-10-12T00:00:00,61
3678,2022,2022-10-12T00:00:00,62
3679,2022,2022-10-12T00:00:00,63
3680,2022,2022-10-12T00:00:00,64
