Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,Hp_Trockenmasse,TS,N,P,K,Ca,Mg,C,TKG,Oel,Protein,Glukosinolate,Staerke,Koerner_kleiner_2_2,Koerner_von_2_2_bis_2_5,Koerner_von_2_5_bis_2_8,Koerner_groesser_2_8,N_Proz_Restpflanze_ohne_Korn
3379,3379,112.85,77.43,1.37,,,,,44.16,,,,,,,,,,
3380,3380,117.52,77.58,1.56,,,,,44.76,,,,,,,,,,
3381,3381,96.04,79.09,1.28,,,,,44.24,,,,,,,,,,
3382,3382,123.07,76.87,1.46,,,,,44.3,,,,,,,,,,
3383,3383,70.04,77.52,1.07,,,,,44.01,,,,,,,,,,
3384,3384,70.51,77.15,1.25,,,,,44.49,,,,,,,,,,
3385,3385,101.57,78.1,1.23,,,,,44.44,,,,,,,,,,
3386,3386,120.95,76.43,1.49,,,,,44.52,,,,,,,,,,
3387,3387,103.59,78.11,1.33,,,,,44.36,,,,,,,,,,
3388,3388,115.33,76.97,1.57,,,,,44.65,,,,,,,,,,
3389,3389,113.16,78.36,1.39,,,,,44.29,,,,,,,,,,
3390,3390,127.86,77.86,1.55,,,,,44.31,,,,,,,,,,
3391,3391,106.17,77.43,1.39,,,,,44.45,,,,,,,,,,
3392,3392,106.47,74.74,1.62,,,,,44.3,,,,,,,,,,
3393,3393,116.46,77.4,1.43,,,,,44.15,,,,,,,,,,
3394,3394,133.82,76.93,1.55,,,,,44.39,,,,,,,,,,
3395,3395,110.19,78.14,1.28,,,,,44.06,,,,,,,,,,
3396,3396,122.26,77.65,1.87,,,,,41.8,,,,,,,,,,
3397,3397,67.33,78.62,1.17,,,,,44.11,,,,,,,,,,
3398,3398,67.45,78.48,1.31,,,,,44.08,,,,,,,,,,
3399,3399,101.51,77.2,1.54,,,,,41.79,,,,,,,,,,
3400,3400,107.75,75.47,1.53,,,,,44.6,,,,,,,,,,
3401,3401,104.65,77.65,1.34,,,,,44.37,,,,,,,,,,
3402,3402,114.45,76.12,1.75,,,,,46.55,,,,,,,,,,
