Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Bodenbearbeitung_Massnahme_ID
4505,2017,2016-10-22T00:00:00,25,7
4506,2017,2016-10-22T00:00:00,26,7
4507,2017,2016-10-22T00:00:00,27,7
4508,2017,2016-10-22T00:00:00,28,7
4509,2017,2016-10-22T00:00:00,29,7
4510,2017,2016-10-22T00:00:00,30,7
4511,2017,2016-10-22T00:00:00,31,7
4512,2017,2016-10-22T00:00:00,32,7
4513,2017,2016-10-22T00:00:00,33,7
4514,2017,2016-10-22T00:00:00,34,7
4515,2017,2016-10-22T00:00:00,35,7
4516,2017,2016-10-22T00:00:00,36,7
4517,2017,2016-10-22T00:00:00,37,7
4518,2017,2016-10-22T00:00:00,38,7
4519,2017,2016-10-22T00:00:00,39,7
4520,2017,2016-10-22T00:00:00,40,7
4521,2017,2016-10-22T00:00:00,41,7
4522,2017,2016-10-22T00:00:00,42,7
4523,2017,2016-10-22T00:00:00,43,7
4524,2017,2016-10-22T00:00:00,44,7
4525,2017,2016-10-22T00:00:00,45,7
4526,2017,2016-10-22T00:00:00,46,7
4527,2017,2016-10-22T00:00:00,47,7
4528,2017,2016-10-22T00:00:00,48,7
4529,2017,2016-10-22T00:00:00,49,7
4530,2017,2016-10-22T00:00:00,50,7
4531,2017,2016-10-22T00:00:00,51,7
4532,2017,2016-10-22T00:00:00,52,7
4533,2017,2016-10-22T00:00:00,53,7
4534,2017,2016-10-22T00:00:00,54,7
4535,2017,2016-10-22T00:00:00,55,7
4536,2017,2016-10-22T00:00:00,56,7
4537,2017,2016-10-22T00:00:00,57,7
4538,2017,2016-10-22T00:00:00,58,7
4539,2017,2016-10-22T00:00:00,59,7
4540,2017,2016-10-22T00:00:00,60,7
4541,2017,2016-10-22T00:00:00,61,7
4542,2017,2016-10-22T00:00:00,62,7
4543,2017,2016-10-22T00:00:00,63,7
4544,2017,2016-10-22T00:00:00,64,7
4545,2017,2016-10-24T00:00:00,1,13
4546,2017,2016-10-24T00:00:00,2,13
4547,2017,2016-10-24T00:00:00,3,13
4548,2017,2016-10-24T00:00:00,4,13
4549,2017,2016-10-24T00:00:00,5,13
4550,2017,2016-10-24T00:00:00,6,13
4551,2017,2016-10-24T00:00:00,7,13
4552,2017,2016-10-24T00:00:00,8,13
4553,2017,2016-10-24T00:00:00,9,13
4554,2017,2016-10-24T00:00:00,10,13
4555,2017,2016-10-24T00:00:00,11,13
4556,2017,2016-10-24T00:00:00,12,13
4557,2017,2016-10-24T00:00:00,13,13
4558,2017,2016-10-24T00:00:00,14,13
4559,2017,2016-10-24T00:00:00,15,13
4560,2017,2016-10-24T00:00:00,16,13
4561,2017,2016-10-24T00:00:00,17,13
4562,2017,2016-10-24T00:00:00,18,13
4563,2017,2016-10-24T00:00:00,19,13
4564,2017,2016-10-24T00:00:00,20,13
4565,2017,2016-10-24T00:00:00,21,13
4566,2017,2016-10-24T00:00:00,22,13
4567,2017,2016-10-24T00:00:00,23,13
4568,2017,2016-10-24T00:00:00,24,13
4569,2017,2016-10-24T00:00:00,25,13
4570,2017,2016-10-24T00:00:00,26,13
4571,2017,2016-10-24T00:00:00,27,13
4572,2017,2016-10-24T00:00:00,28,13
4573,2017,2016-10-24T00:00:00,29,13
4574,2017,2016-10-24T00:00:00,30,13
4575,2017,2016-10-24T00:00:00,31,13
4576,2017,2016-10-24T00:00:00,32,13
4577,2017,2016-10-24T00:00:00,33,13
4578,2017,2016-10-24T00:00:00,34,13
4579,2017,2016-10-24T00:00:00,35,13
4580,2017,2016-10-24T00:00:00,36,13
4581,2017,2016-10-24T00:00:00,37,13
4582,2017,2016-10-24T00:00:00,38,13
4583,2017,2016-10-24T00:00:00,39,13
4584,2017,2016-10-24T00:00:00,40,13
4585,2017,2016-10-24T00:00:00,41,13
4586,2017,2016-10-24T00:00:00,42,13
4587,2017,2016-10-24T00:00:00,43,13
4588,2017,2016-10-24T00:00:00,44,13
4589,2017,2016-10-24T00:00:00,45,13
4590,2017,2016-10-24T00:00:00,46,13
4591,2017,2016-10-24T00:00:00,47,13
4592,2017,2016-10-24T00:00:00,48,13
4593,2017,2016-10-24T00:00:00,49,13
4594,2017,2016-10-24T00:00:00,50,13
4595,2017,2016-10-24T00:00:00,51,13
4596,2017,2016-10-24T00:00:00,52,13
4597,2017,2016-10-24T00:00:00,53,13
4598,2017,2016-10-24T00:00:00,54,13
4599,2017,2016-10-24T00:00:00,55,13
4600,2017,2016-10-24T00:00:00,56,13
4601,2017,2016-10-24T00:00:00,57,13
4602,2017,2016-10-24T00:00:00,58,13
4603,2017,2016-10-24T00:00:00,59,13
4604,2017,2016-10-24T00:00:00,60,13
4605,2017,2016-10-24T00:00:00,61,13
4606,2017,2016-10-24T00:00:00,62,13
4607,2017,2016-10-24T00:00:00,63,13
4608,2017,2016-10-24T00:00:00,64,13
4609,2019,2018-10-11T00:00:00,1,7
4610,2019,2018-10-11T00:00:00,2,7
4611,2019,2018-10-11T00:00:00,3,7
4612,2019,2018-10-11T00:00:00,4,7
4613,2019,2018-10-11T00:00:00,5,7
4614,2019,2018-10-11T00:00:00,6,7
4615,2019,2018-10-11T00:00:00,7,7
4616,2019,2018-10-11T00:00:00,8,7
4617,2019,2018-10-11T00:00:00,9,7
4618,2019,2018-10-11T00:00:00,10,7
4619,2019,2018-10-11T00:00:00,11,7
4620,2019,2018-10-11T00:00:00,12,7
4621,2019,2018-10-11T00:00:00,13,7
4622,2019,2018-10-11T00:00:00,14,7
4623,2019,2018-10-11T00:00:00,15,7
4624,2019,2018-10-11T00:00:00,16,7
4625,2019,2018-10-11T00:00:00,17,7
4626,2019,2018-10-11T00:00:00,18,7
4627,2019,2018-10-11T00:00:00,19,7
4628,2019,2018-10-11T00:00:00,20,7
4629,2019,2018-10-11T00:00:00,21,7
4630,2019,2018-10-11T00:00:00,22,7
4631,2019,2018-10-11T00:00:00,23,7
4632,2019,2018-10-11T00:00:00,24,7
4633,2019,2018-10-11T00:00:00,25,7
4634,2019,2018-10-11T00:00:00,26,7
4635,2019,2018-10-11T00:00:00,27,7
4636,2019,2018-10-11T00:00:00,28,7
4637,2019,2018-10-11T00:00:00,29,7
4638,2019,2018-10-11T00:00:00,30,7
4639,2019,2018-10-11T00:00:00,31,7
4640,2019,2018-10-11T00:00:00,32,7
4641,2019,2018-10-11T00:00:00,33,7
4642,2019,2018-10-11T00:00:00,34,7
4643,2019,2018-10-11T00:00:00,35,7
4644,2019,2018-10-11T00:00:00,36,7
4645,2019,2018-10-11T00:00:00,37,7
4646,2019,2018-10-11T00:00:00,38,7
4647,2019,2018-10-11T00:00:00,39,7
4648,2019,2018-10-11T00:00:00,40,7
4649,2019,2018-10-11T00:00:00,41,7
4650,2019,2018-10-11T00:00:00,42,7
4651,2019,2018-10-11T00:00:00,43,7
4652,2019,2018-10-11T00:00:00,44,7
4653,2019,2018-10-11T00:00:00,45,7
4654,2019,2018-10-11T00:00:00,46,7
4655,2019,2018-10-11T00:00:00,47,7
4656,2019,2018-10-11T00:00:00,48,7
4657,2019,2018-10-11T00:00:00,49,7
4658,2019,2018-10-11T00:00:00,50,7
4659,2019,2018-10-11T00:00:00,51,7
4660,2019,2018-10-11T00:00:00,52,7
4661,2019,2018-10-11T00:00:00,53,7
4662,2019,2018-10-11T00:00:00,54,7
4663,2019,2018-10-11T00:00:00,55,7
4664,2019,2018-10-11T00:00:00,56,7
4665,2019,2018-10-11T00:00:00,57,7
4666,2019,2018-10-11T00:00:00,58,7
4667,2019,2018-10-11T00:00:00,59,7
4668,2019,2018-10-11T00:00:00,60,7
4669,2019,2018-10-11T00:00:00,61,7
4670,2019,2018-10-11T00:00:00,62,7
4671,2019,2018-10-11T00:00:00,63,7
