"experiment_ID","experiment_year","treatment_number","plot_id","harvest_date","harvest_yld_matur_dry_wt","byprod_removed_at_harv","obs_summary_comment"
"LTFE_Duernast",2017,15,51,"2017-08-07",1565,NA,NA
"LTFE_Duernast",2017,15,52,"2017-08-07",2395,NA,NA
"LTFE_Duernast",2018,1,3,"2018-09-26",10438,NA,NA
"LTFE_Duernast",2018,1,17,"2018-09-26",11177,NA,NA
"LTFE_Duernast",2018,1,39,"2018-09-26",10151,NA,NA
"LTFE_Duernast",2018,1,53,"2018-09-26",10347,NA,NA
"LTFE_Duernast",2018,2,5,"2018-09-26",10667,NA,NA
"LTFE_Duernast",2018,2,19,"2018-09-26",11285,NA,NA
"LTFE_Duernast",2018,2,33,"2018-09-26",11646,NA,NA
"LTFE_Duernast",2018,2,55,"2018-09-26",8968,NA,NA
"LTFE_Duernast",2018,3,7,"2018-09-26",9456,NA,NA
"LTFE_Duernast",2018,3,21,"2018-09-26",9604,NA,NA
"LTFE_Duernast",2018,3,35,"2018-09-26",11019,NA,NA
"LTFE_Duernast",2018,3,49,"2018-09-26",10531,NA,NA
"LTFE_Duernast",2018,4,9,"2018-09-26",10720,NA,NA
"LTFE_Duernast",2018,4,31,"2018-09-26",10617,NA,NA
"LTFE_Duernast",2018,4,45,"2018-09-26",10806,NA,NA
"LTFE_Duernast",2018,4,59,"2018-09-26",11157,NA,NA
"LTFE_Duernast",2018,5,11,"2018-09-26",10846,NA,NA
"LTFE_Duernast",2018,5,25,"2018-09-26",10157,NA,NA
"LTFE_Duernast",2018,5,47,"2018-09-26",10655,NA,NA
"LTFE_Duernast",2018,5,61,"2018-09-26",10788,NA,NA
"LTFE_Duernast",2018,6,13,"2018-09-26",11251,NA,NA
"LTFE_Duernast",2018,6,27,"2018-09-26",10359,NA,NA
"LTFE_Duernast",2018,6,41,"2018-09-26",10465,NA,NA
"LTFE_Duernast",2018,6,63,"2018-09-26",8414,NA,NA
"LTFE_Duernast",2018,7,15,"2018-09-26",10199,NA,NA
"LTFE_Duernast",2018,7,29,"2018-09-26",11316,NA,NA
"LTFE_Duernast",2018,7,43,"2018-09-26",10352,NA,NA
"LTFE_Duernast",2018,7,57,"2018-09-26",9970,NA,NA
"LTFE_Duernast",2018,8,4,"2018-09-26",11956,NA,NA
"LTFE_Duernast",2018,8,18,"2018-09-26",11558,NA,NA
"LTFE_Duernast",2018,8,40,"2018-09-26",10775,NA,NA
"LTFE_Duernast",2018,8,54,"2018-09-26",12252,NA,NA
"LTFE_Duernast",2018,9,6,"2018-09-26",11270,NA,NA
"LTFE_Duernast",2018,9,20,"2018-09-26",11752,NA,NA
"LTFE_Duernast",2018,9,34,"2018-09-26",13382,NA,NA
"LTFE_Duernast",2018,9,56,"2018-09-26",10387,NA,NA
"LTFE_Duernast",2018,10,8,"2018-09-26",10847,NA,NA
"LTFE_Duernast",2018,10,22,"2018-09-26",12307,NA,NA
"LTFE_Duernast",2018,10,36,"2018-09-26",12226,NA,NA
"LTFE_Duernast",2018,10,50,"2018-09-26",11568,NA,NA
"LTFE_Duernast",2018,11,10,"2018-09-26",12740,NA,NA
"LTFE_Duernast",2018,11,32,"2018-09-26",10647,NA,NA
"LTFE_Duernast",2018,11,46,"2018-09-26",11949,NA,NA
"LTFE_Duernast",2018,11,60,"2018-09-26",12137,NA,NA
"LTFE_Duernast",2018,12,12,"2018-09-26",12323,NA,NA
"LTFE_Duernast",2018,12,26,"2018-09-26",12095,NA,NA
"LTFE_Duernast",2018,12,48,"2018-09-26",10805,NA,NA
"LTFE_Duernast",2018,12,62,"2018-09-26",12447,NA,NA
"LTFE_Duernast",2018,13,14,"2018-09-26",11631,NA,NA
"LTFE_Duernast",2018,13,28,"2018-09-26",11533,NA,NA
"LTFE_Duernast",2018,13,42,"2018-09-26",11445,NA,NA
"LTFE_Duernast",2018,13,64,"2018-09-26",9263,NA,NA
"LTFE_Duernast",2018,14,16,"2018-09-26",11456,NA,NA
"LTFE_Duernast",2018,14,30,"2018-09-26",12786,NA,NA
"LTFE_Duernast",2018,14,44,"2018-09-26",10932,NA,NA
"LTFE_Duernast",2018,14,58,"2018-09-26",12004,NA,NA
"LTFE_Duernast",2018,15,1,"2018-09-26",6776,NA,NA
"LTFE_Duernast",2018,15,2,"2018-09-26",6455,NA,NA
"LTFE_Duernast",2018,15,23,"2018-09-26",7004,NA,NA
"LTFE_Duernast",2018,15,24,"2018-09-26",7051,NA,NA
"LTFE_Duernast",2018,15,37,"2018-09-26",6733,NA,NA
"LTFE_Duernast",2018,15,38,"2018-09-26",6745,NA,NA
"LTFE_Duernast",2018,15,51,"2018-09-26",6169,NA,NA
"LTFE_Duernast",2018,15,52,"2018-09-26",6470,NA,NA
"LTFE_Duernast",2019,1,3,"2019-08-05",8659,NA,NA
"LTFE_Duernast",2019,1,17,"2019-08-05",8943,NA,NA
"LTFE_Duernast",2019,1,39,"2019-08-05",7786,NA,NA
"LTFE_Duernast",2019,1,53,"2019-08-05",7678,NA,NA
"LTFE_Duernast",2019,2,5,"2019-08-05",9323,NA,NA
"LTFE_Duernast",2019,2,19,"2019-08-05",9088,NA,NA
"LTFE_Duernast",2019,2,33,"2019-08-05",9521,NA,NA
"LTFE_Duernast",2019,2,55,"2019-08-05",7777,NA,NA
"LTFE_Duernast",2019,3,7,"2019-08-05",7609,NA,NA
"LTFE_Duernast",2019,3,21,"2019-08-05",9298,NA,NA
"LTFE_Duernast",2019,3,35,"2019-08-05",9272,NA,NA
"LTFE_Duernast",2019,3,49,"2019-08-05",9157,NA,NA
"LTFE_Duernast",2019,4,9,"2019-08-05",8825,NA,NA
"LTFE_Duernast",2019,4,31,"2019-08-05",7103,NA,NA
"LTFE_Duernast",2019,4,45,"2019-08-05",7895,NA,NA
"LTFE_Duernast",2019,4,59,"2019-08-05",7368,NA,NA
"LTFE_Duernast",2019,5,11,"2019-08-05",7506,NA,NA
"LTFE_Duernast",2019,5,25,"2019-08-05",7843,NA,NA
"LTFE_Duernast",2019,5,47,"2019-08-05",7048,NA,NA
"LTFE_Duernast",2019,5,61,"2019-08-05",6754,NA,NA
"LTFE_Duernast",2019,6,13,"2019-08-05",7818,NA,NA
"LTFE_Duernast",2019,6,27,"2019-08-05",8078,NA,NA
"LTFE_Duernast",2019,6,41,"2019-08-05",8444,NA,NA
"LTFE_Duernast",2019,6,63,"2019-08-05",6653,NA,NA
"LTFE_Duernast",2019,7,15,"2019-08-05",7366,NA,NA
"LTFE_Duernast",2019,7,29,"2019-08-05",8420,NA,NA
"LTFE_Duernast",2019,7,43,"2019-08-05",8556,NA,NA
"LTFE_Duernast",2019,7,57,"2019-08-05",8388,NA,NA
"LTFE_Duernast",2019,8,4,"2019-08-05",10254,NA,NA
"LTFE_Duernast",2019,8,18,"2019-08-05",10725,NA,NA
"LTFE_Duernast",2019,8,40,"2019-08-05",9104,NA,NA
"LTFE_Duernast",2019,8,54,"2019-08-05",9883,NA,NA
"LTFE_Duernast",2019,9,6,"2019-08-05",10998,NA,NA
"LTFE_Duernast",2019,9,20,"2019-08-05",11542,NA,NA
"LTFE_Duernast",2019,9,34,"2019-08-05",10952,NA,NA
"LTFE_Duernast",2019,9,56,"2019-08-05",9125,NA,NA
"LTFE_Duernast",2019,10,8,"2019-08-05",9263,NA,NA
"LTFE_Duernast",2019,10,22,"2019-08-05",10832,NA,NA
"LTFE_Duernast",2019,10,36,"2019-08-05",11393,NA,NA
"LTFE_Duernast",2019,10,50,"2019-08-05",10657,NA,NA
"LTFE_Duernast",2019,11,10,"2019-08-05",10719,NA,NA
"LTFE_Duernast",2019,11,32,"2019-08-05",9876,NA,NA
"LTFE_Duernast",2019,11,46,"2019-08-05",10292,NA,NA
"LTFE_Duernast",2019,11,60,"2019-08-05",10269,NA,NA
"LTFE_Duernast",2019,12,12,"2019-08-05",9078,NA,NA
"LTFE_Duernast",2019,12,26,"2019-08-05",8455,NA,NA
"LTFE_Duernast",2019,12,48,"2019-08-05",8349,NA,NA
"LTFE_Duernast",2019,12,62,"2019-08-05",7821,NA,NA
"LTFE_Duernast",2019,13,14,"2019-08-05",9266,NA,NA
"LTFE_Duernast",2019,13,28,"2019-08-05",10121,NA,NA
"LTFE_Duernast",2019,13,42,"2019-08-05",9592,NA,NA
"LTFE_Duernast",2019,13,64,"2019-08-05",7834,NA,NA
"LTFE_Duernast",2019,14,16,"2019-08-05",8455,NA,NA
"LTFE_Duernast",2019,14,30,"2019-08-05",9356,NA,NA
"LTFE_Duernast",2019,14,44,"2019-08-05",10028,NA,NA
"LTFE_Duernast",2019,14,58,"2019-08-05",9151,NA,NA
"LTFE_Duernast",2019,15,1,"2019-08-05",3969,NA,NA
"LTFE_Duernast",2019,15,2,"2019-08-05",3095,NA,NA
"LTFE_Duernast",2019,15,23,"2019-08-05",2115,NA,NA
"LTFE_Duernast",2019,15,24,"2019-08-05",1688,NA,NA
"LTFE_Duernast",2019,15,37,"2019-08-05",2376,NA,NA
"LTFE_Duernast",2019,15,38,"2019-08-05",2245,NA,NA
"LTFE_Duernast",2019,15,51,"2019-08-05",1753,NA,NA
"LTFE_Duernast",2019,15,52,"2019-08-05",1924,NA,NA
"LTFE_Duernast",2020,1,3,"2020-08-26",4567,NA,NA
"LTFE_Duernast",2020,1,17,"2020-08-26",4860,NA,NA
"LTFE_Duernast",2020,1,39,"2020-08-26",3886,NA,NA
"LTFE_Duernast",2020,1,53,"2020-08-26",3987,NA,NA
"LTFE_Duernast",2020,2,5,"2020-08-26",4745,NA,NA
"LTFE_Duernast",2020,2,19,"2020-08-26",4842,NA,NA
"LTFE_Duernast",2020,2,33,"2020-08-26",4453,NA,NA
"LTFE_Duernast",2020,2,55,"2020-08-26",3412,NA,NA
"LTFE_Duernast",2020,3,7,"2020-08-26",4325,NA,NA
